"Time","Clothes drier (without condenser) ()","Electric Cooker (hot plate+oven) ()","Fridge freezer (Kitchen, 203l/117l)","Halogen lamp 1 (0,5kW)","Microwave oven ()","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine (5kg,750rpm)","Water heater ()"
"1998-02-04 16:40:00.0","0","0","29","12","0","0","0","0","0","0"
"1998-02-04 16:50:00.0","0","0","27","0","0","0","0","6","0","0"
"1998-02-04 17:00:00.0","0","0","22","0","0","0","0","9","0","0"
"1998-02-04 17:10:00.0","0","0","12","0","0","0","0","9","0","0"
"1998-02-04 17:20:00.0","0","0","0","0","0","0","0","8","0","0"
"1998-02-04 17:30:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-04 17:40:00.0","0","0","1","0","0","0","0","9","0","0"
"1998-02-04 17:50:00.0","0","0","16","0","0","0","0","9","0","0"
"1998-02-04 18:00:00.0","0","0","28","0","0","0","0","9","0","0"
"1998-02-04 18:10:00.0","0","0","15","0","0","0","0","9","0","0"
"1998-02-04 18:20:00.0","0","0","7","0","0","0","0","10","0","0"
"1998-02-04 18:30:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-04 18:40:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-04 18:50:00.0","0","0","0","0","0","0","0","10","0","0"
"1998-02-04 19:00:00.0","0","0","9","0","0","0","0","9","0","0"
"1998-02-04 19:10:00.0","0","0","19","0","0","0","0","9","0","0"
"1998-02-04 19:20:00.0","0","0","17","0","0","0","0","9","0","0"
"1998-02-04 19:30:00.0","0","0","13","0","0","0","0","9","0","0"
"1998-02-04 19:40:00.0","0","0","2","0","0","0","0","9","0","0"
"1998-02-04 19:50:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-04 20:00:00.0","0","0","13","0","39","0","0","9","0","0"
"1998-02-04 20:10:00.0","0","0","13","0","59","0","0","9","0","0"
"1998-02-04 20:20:00.0","0","0","1","0","0","0","0","9","0","0"
"1998-02-04 20:30:00.0","0","0","9","0","0","0","0","9","0","0"
"1998-02-04 20:40:00.0","0","0","14","0","0","0","0","9","0","0"
"1998-02-04 20:50:00.0","0","0","16","0","0","0","0","10","0","0"
"1998-02-04 21:00:00.0","0","0","15","0","16","0","0","9","0","0"
"1998-02-04 21:10:00.0","0","0","13","0","0","0","0","8","0","0"
"1998-02-04 21:20:00.0","0","0","14","0","0","0","0","10","0","0"
"1998-02-04 21:30:00.0","0","0","3","0","0","0","0","9","0","0"
"1998-02-04 21:40:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-04 21:50:00.0","0","0","14","0","0","0","0","9","0","0"
"1998-02-04 22:00:00.0","0","0","14","0","0","0","0","9","0","0"
"1998-02-04 22:10:00.0","0","0","15","0","0","0","0","9","0","0"
"1998-02-04 22:20:00.0","0","0","13","0","0","0","0","9","0","0"
"1998-02-04 22:30:00.0","0","0","3","0","0","0","0","3","0","0"
"1998-02-04 22:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-04 22:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-04 23:00:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-04 23:10:00.0","0","0","23","0","0","0","0","0","0","0"
"1998-02-04 23:20:00.0","0","0","25","0","0","0","0","0","0","0"
"1998-02-04 23:30:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-04 23:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-04 23:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 00:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 00:10:00.0","0","0","8","0","0","0","0","0","0","0"
"1998-02-05 00:20:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 00:30:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-05 00:40:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 00:50:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-05 01:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 01:10:00.0","0","0","11","0","0","0","0","0","0","0"
"1998-02-05 01:20:00.0","0","0","6","0","0","0","0","0","0","0"
"1998-02-05 01:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 01:40:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-05 01:50:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 02:00:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-05 02:10:00.0","0","0","9","0","0","0","0","0","0","0"
"1998-02-05 02:20:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-05 02:30:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-05 02:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 02:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 03:00:00.0","0","0","9","0","0","0","0","0","0","0"
"1998-02-05 03:10:00.0","0","0","20","0","0","0","0","0","0","0"
"1998-02-05 03:20:00.0","0","0","21","0","0","0","0","0","0","0"
"1998-02-05 03:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 03:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 03:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 04:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 04:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 04:20:00.0","0","0","24","0","0","0","0","0","0","0"
"1998-02-05 04:30:00.0","0","0","19","0","0","0","0","0","0","0"
"1998-02-05 04:40:00.0","0","0","6","0","0","0","0","0","0","0"
"1998-02-05 04:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 05:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 05:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 05:20:00.0","0","0","4","0","0","0","0","0","0","0"
"1998-02-05 05:30:00.0","0","0","11","0","0","0","0","0","0","0"
"1998-02-05 05:40:00.0","0","0","16","0","0","0","0","0","0","0"
"1998-02-05 05:50:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-05 06:00:00.0","0","0","4","0","0","0","0","0","0","0"
"1998-02-05 06:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 06:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 06:30:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-05 06:40:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-05 06:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 07:00:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-05 07:10:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 07:20:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-05 07:30:00.0","0","0","4","0","0","0","0","0","0","0"
"1998-02-05 07:40:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-05 07:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 08:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 08:10:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-05 08:20:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-05 08:30:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 08:40:00.0","0","0","5","0","0","0","0","0","0","0"
"1998-02-05 08:50:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-05 09:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 09:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 09:20:00.0","0","0","0","0","88","0","0","8","0","0"
"1998-02-05 09:30:00.0","0","0","3","0","0","0","0","9","0","0"
"1998-02-05 09:40:00.0","0","0","18","0","0","0","0","9","0","0"
"1998-02-05 09:50:00.0","0","0","24","0","0","0","0","9","0","0"
"1998-02-05 10:00:00.0","0","0","0","0","0","0","0","4","0","0"
"1998-02-05 10:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 10:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 10:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 10:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 10:50:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-05 11:00:00.0","0","0","28","0","0","0","0","0","0","0"
"1998-02-05 11:10:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-05 11:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 11:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 11:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 11:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 12:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 12:10:00.0","0","0","21","0","0","0","0","0","0","0"
"1998-02-05 12:20:00.0","0","0","17","0","0","0","0","0","0","0"
"1998-02-05 12:30:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-05 12:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 12:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 13:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 13:10:00.0","0","0","4","0","0","0","0","0","0","0"
"1998-02-05 13:20:00.0","0","0","21","0","0","0","0","0","0","0"
"1998-02-05 13:30:00.0","0","0","20","0","0","0","0","0","0","0"
"1998-02-05 13:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 13:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 14:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 14:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 14:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 14:30:00.0","0","0","17","0","0","0","0","0","124","0"
"1998-02-05 14:40:00.0","0","0","23","0","0","0","0","0","132","0"
"1998-02-05 14:50:00.0","0","0","4","0","0","0","0","0","14","0"
"1998-02-05 15:00:00.0","0","0","0","0","0","0","0","4","12","0"
"1998-02-05 15:10:00.0","0","0","0","0","0","0","0","9","12","0"
"1998-02-05 15:20:00.0","0","0","0","0","0","0","0","9","14","0"
"1998-02-05 15:30:00.0","0","0","0","0","0","0","0","9","33","0"
"1998-02-05 15:40:00.0","0","0","7","0","0","0","0","9","2","0"
"1998-02-05 15:50:00.0","0","0","27","0","0","0","0","8","306","0"
"1998-02-05 16:00:00.0","0","0","11","0","0","0","0","9","203","0"
"1998-02-05 16:10:00.0","0","0","0","0","0","0","0","9","16","0"
"1998-02-05 16:20:00.0","0","0","0","0","0","0","0","7","14","0"
"1998-02-05 16:30:00.0","0","0","0","0","0","0","0","0","17","0"
"1998-02-05 16:40:00.0","0","0","0","0","0","0","0","0","13","0"
"1998-02-05 16:50:00.0","0","0","8","0","0","0","0","0","32","0"
"1998-02-05 17:00:00.0","61","0","15","0","0","0","0","0","15","0"
"1998-02-05 17:10:00.0","237","0","14","0","0","0","0","0","0","0"
"1998-02-05 17:20:00.0","185","0","8","0","0","0","0","0","0","0"
"1998-02-05 17:30:00.0","135","0","0","0","0","0","0","0","0","0"
"1998-02-05 17:40:00.0","101","0","0","0","0","0","0","0","0","0"
"1998-02-05 17:50:00.0","345","0","0","0","0","0","0","7","0","0"
"1998-02-05 18:00:00.0","168","0","21","0","0","0","0","9","0","0"
"1998-02-05 18:10:00.0","29","0","20","0","0","0","0","9","0","0"
"1998-02-05 18:20:00.0","101","0","14","0","0","0","0","9","0","0"
"1998-02-05 18:30:00.0","325","0","14","0","12","0","0","10","0","0"
"1998-02-05 18:40:00.0","343","0","18","0","0","0","0","9","0","0"
"1998-02-05 18:50:00.0","336","0","15","0","0","0","0","9","0","0"
"1998-02-05 19:00:00.0","257","0","5","0","0","0","0","9","0","0"
"1998-02-05 19:10:00.0","15","0","0","0","0","0","0","9","0","0"
"1998-02-05 19:20:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-05 19:30:00.0","0","0","7","0","0","0","0","9","0","0"
"1998-02-05 19:40:00.0","0","0","19","0","0","0","0","9","0","0"
"1998-02-05 19:50:00.0","0","0","28","0","0","0","0","9","0","0"
"1998-02-05 20:00:00.0","0","0","14","0","0","0","0","9","0","0"
"1998-02-05 20:10:00.0","0","0","6","0","0","0","0","9","0","0"
"1998-02-05 20:20:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-05 20:30:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-05 20:40:00.0","0","0","0","0","14","0","0","9","0","0"
"1998-02-05 20:50:00.0","0","0","29","0","0","0","0","9","0","0"
"1998-02-05 21:00:00.0","0","0","28","0","0","0","0","8","0","0"
"1998-02-05 21:10:00.0","0","0","19","0","0","0","0","9","0","0"
"1998-02-05 21:20:00.0","0","0","2","0","0","0","0","8","0","0"
"1998-02-05 21:30:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-05 21:40:00.0","0","0","0","0","0","0","0","8","0","0"
"1998-02-05 21:50:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-05 22:00:00.0","0","0","1","0","0","0","0","9","0","0"
"1998-02-05 22:10:00.0","0","0","17","0","0","0","0","8","0","0"
"1998-02-05 22:20:00.0","0","0","28","0","0","0","0","9","0","0"
"1998-02-05 22:30:00.0","0","0","7","0","0","0","0","4","0","0"
"1998-02-05 22:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 22:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 23:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 23:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-05 23:20:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-05 23:30:00.0","0","0","23","0","0","0","0","0","0","0"
"1998-02-05 23:40:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-05 23:50:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 00:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 00:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 00:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 00:30:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-06 00:40:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-06 00:50:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 01:00:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 01:10:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 01:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 01:30:00.0","0","0","6","0","0","0","0","0","0","0"
"1998-02-06 01:40:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 01:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 02:00:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 02:10:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 02:20:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 02:30:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 02:40:00.0","0","0","6","0","0","0","0","0","0","0"
"1998-02-06 02:50:00.0","0","0","11","0","0","0","0","0","0","0"
"1998-02-06 03:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 03:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 03:20:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 03:30:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 03:40:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 03:50:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-06 04:00:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 04:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 04:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 04:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 04:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 04:50:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 05:00:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-06 05:10:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 05:20:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-06 05:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 05:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 05:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 06:00:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-06 06:10:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 06:20:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 06:30:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 06:40:00.0","0","0","5","0","0","0","0","0","0","0"
"1998-02-06 06:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 07:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 07:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 07:20:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 07:30:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 07:40:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 07:50:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 08:00:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-06 08:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 08:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 08:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 08:40:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-06 08:50:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 09:00:00.0","0","0","11","0","0","0","0","0","0","0"
"1998-02-06 09:10:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 09:20:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 09:30:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 09:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 09:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 10:00:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 10:10:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 10:20:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-06 10:30:00.0","0","0","1","0","58","0","0","4","0","0"
"1998-02-06 10:40:00.0","0","0","14","0","34","0","0","9","212","0"
"1998-02-06 10:50:00.0","0","0","4","0","0","0","0","9","57","0"
"1998-02-06 11:00:00.0","0","0","0","0","0","0","0","9","17","0"
"1998-02-06 11:10:00.0","0","0","0","0","0","0","0","9","15","0"
"1998-02-06 11:20:00.0","0","0","1","0","0","0","0","9","12","0"
"1998-02-06 11:30:00.0","0","0","15","0","0","0","0","9","18","0"
"1998-02-06 11:40:00.0","0","0","14","0","0","0","0","3","38","0"
"1998-02-06 11:50:00.0","0","0","11","0","0","0","0","0","1","0"
"1998-02-06 12:00:00.0","0","0","7","0","0","0","0","0","0","0"
"1998-02-06 12:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 12:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 12:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 12:40:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 12:50:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 13:00:00.0","0","0","16","0","0","0","0","0","0","0"
"1998-02-06 13:10:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 13:20:00.0","0","0","1","0","0","0","0","3","0","0"
"1998-02-06 13:30:00.0","339","0","0","0","0","0","0","9","0","0"
"1998-02-06 13:40:00.0","350","0","0","0","0","0","0","9","0","0"
"1998-02-06 13:50:00.0","146","0","0","0","0","0","0","9","0","0"
"1998-02-06 14:00:00.0","0","0","0","0","0","0","0","9","257","0"
"1998-02-06 14:10:00.0","0","0","14","0","0","0","0","9","260","0"
"1998-02-06 14:20:00.0","0","0","26","0","0","0","0","8","20","0"
"1998-02-06 14:30:00.0","0","0","8","0","0","0","0","9","16","0"
"1998-02-06 14:40:00.0","0","0","0","0","0","0","0","0","17","0"
"1998-02-06 14:50:00.0","0","0","0","0","0","0","0","0","16","0"
"1998-02-06 15:00:00.0","0","0","0","0","0","0","0","0","25","0"
"1998-02-06 15:10:00.0","0","0","0","0","0","0","0","0","19","0"
"1998-02-06 15:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 15:30:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 15:40:00.0","0","0","29","0","0","0","0","0","0","0"
"1998-02-06 15:50:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 16:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 16:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 16:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 16:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 16:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 16:50:00.0","0","0","16","0","0","0","0","0","0","0"
"1998-02-06 17:00:00.0","0","0","29","0","0","0","0","0","0","0"
"1998-02-06 17:10:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 17:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 17:30:00.0","34","0","0","0","0","0","0","3","0","0"
"1998-02-06 17:40:00.0","347","0","0","0","0","0","0","8","0","0"
"1998-02-06 17:50:00.0","344","0","0","0","0","0","0","9","0","0"
"1998-02-06 18:00:00.0","121","0","0","0","0","0","0","9","0","0"
"1998-02-06 18:10:00.0","0","0","15","0","0","0","0","9","0","0"
"1998-02-06 18:20:00.0","0","0","29","0","0","0","0","9","0","0"
"1998-02-06 18:30:00.0","0","0","4","0","0","0","0","9","0","0"
"1998-02-06 18:40:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-06 18:50:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-06 19:00:00.0","0","0","0","0","0","0","0","10","0","0"
"1998-02-06 19:10:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-06 19:20:00.0","0","0","15","0","0","0","0","9","0","0"
"1998-02-06 19:30:00.0","0","0","16","0","0","0","0","9","0","0"
"1998-02-06 19:40:00.0","0","0","14","0","0","0","0","9","0","0"
"1998-02-06 19:50:00.0","0","0","3","0","0","0","0","9","0","0"
"1998-02-06 20:00:00.0","0","0","0","0","0","0","0","9","0","0"
"1998-02-06 20:10:00.0","0","0","0","0","0","0","0","5","0","0"
"1998-02-06 20:20:00.0","0","0","5","0","0","0","0","0","0","0"
"1998-02-06 20:30:00.0","0","0","12","0","0","0","0","0","0","0"
"1998-02-06 20:40:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 20:50:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 21:00:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 21:10:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 21:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 21:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 21:40:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 21:50:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 22:00:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 22:10:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 22:20:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 22:30:00.0","0","0","1","0","0","0","0","0","0","0"
"1998-02-06 22:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 22:50:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 23:00:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-06 23:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 23:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-06 23:30:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-06 23:40:00.0","0","0","14","0","0","0","0","0","0","0"
"1998-02-06 23:50:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-07 00:00:00.0","0","0","11","0","0","0","0","0","0","0"
"1998-02-07 00:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 00:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 00:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 00:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 00:50:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-07 01:00:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-07 01:10:00.0","0","0","10","0","0","0","0","0","0","0"
"1998-02-07 01:20:00.0","0","0","9","0","0","0","0","0","0","0"
"1998-02-07 01:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 01:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 01:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 02:00:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-07 02:10:00.0","0","0","15","0","0","0","0","0","0","0"
"1998-02-07 02:20:00.0","0","0","18","0","0","0","0","0","0","0"
"1998-02-07 02:30:00.0","0","0","13","0","0","0","0","0","0","0"
"1998-02-07 02:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 02:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 03:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 03:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 03:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 03:30:00.0","0","0","16","0","0","0","0","0","0","0"
"1998-02-07 03:40:00.0","0","0","29","0","0","0","0","0","0","0"
"1998-02-07 03:50:00.0","0","0","3","0","0","0","0","0","0","0"
"1998-02-07 04:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 04:10:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 04:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 04:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 04:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 04:50:00.0","0","0","17","0","0","0","0","0","0","0"
"1998-02-07 05:00:00.0","0","0","28","0","0","0","0","0","0","0"
"1998-02-07 05:10:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-07 05:20:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 05:30:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 05:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 05:50:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 06:00:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 06:10:00.0","0","0","26","0","0","0","0","0","0","0"
"1998-02-07 06:20:00.0","0","0","19","0","0","0","0","0","0","0"
"1998-02-07 06:30:00.0","0","0","2","0","0","0","0","0","0","0"
"1998-02-07 06:40:00.0","0","0","0","0","0","0","0","0","0","0"
"1998-02-07 06:50:00.0","0","0","0","0","0","0","0","0","0","0"
